Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
37853,67923-12-0,"Siloxanes and Silicones, di-Me, [[(chlorinated phenyl)silylidyne]tris(oxy)]tris-",FALSE, ,0, 
37854,67923-13-1,"Siloxanes and Silicones, di-Me, chlorine-terminated",FALSE, ,0, 
37856,67923-15-3,"Siloxanes and Silicones, di-Me, hydroxy-terminated, polymers with Bu acrylate and styrene",FALSE, ,0, 
37857,67923-17-5,"Siloxanes and Silicones, di-Me, [[[3-[(2-methyl-1-oxo-2-propen-1-yl)oxy]propyl]silylidyne]tris(oxy)]tris-, methoxy-terminated",FALSE, ,0, 
37858,67923-18-6,"Siloxanes and Silicones, di-Me, [[[3-[(2-methyl-1-oxo-2-propen-1-yl)oxy]propyl]silylidyne]tris(oxy)]tris-",FALSE, ,0, 
37859,67923-19-7,"Siloxanes and Silicones, di-Me, Me vinyl, hydroxy-terminated",FALSE, ,0, 
37861,67923-21-1,"Siloxanes and Silicones, di-Me, [(triethoxysilyl)oxy]-terminated",FALSE, ,0, 
37862,67923-22-2,"Siloxanes and Silicones, di-Me, hydroxy- and methoxy-terminated",FALSE, ,0, 
37863,67923-23-3,"Siloxanes and Silicones, Me hydrogen, Me 3-(2-oxiranylmethoxy)propyl, Me 2-(triethoxysilyl)ethyl",FALSE, ,0, 
37864,67923-24-4,"Siloxanes and Silicones, Me hydrogen, Me 3,3,3-trifluoropropyl",FALSE, ,0, 
37865,67923-25-5,"Soybean oil, polymer with adipic acid, neopentyl glycol, phthalic anhydride and trimethylolpropane",FALSE, ,0, 
37869,67923-29-9,"Soybean oil, polymer with benzoic acid, maleic anhydride, phthalic anhydride, trimethylolethane and trimethylolpropane",FALSE, ,0, 
37870,67923-30-2,"Soybean oil, polymer with benzoic acid, pentaerythritol, phthalic anhydride and trimethylolpropane",FALSE, ,0, 
37871,67923-31-3,"Soybean oil, polymer with ethylene glycol, glycerol, maleic anhydride, pentaerythritol and phthalic anhydride",FALSE, ,0, 
37872,67923-32-4,"Soybean oil, polymer with ethylene glycol, maleic anhydride, Me methacrylate, pentaerythritol, phthalic anhydride and vinyltoluene",FALSE, ,0, 
37874,67923-34-6,"Soybean oil, polymer with ethylene glycol, maleic anhydride, pentaerythritol, phthalic anhydride and vinyltoluene",FALSE, ,0, 
37875,67923-35-7,"Soybean oil, polymer with ethylene glycol, pentaerythritol, phthalic anhydride and vinyltoluene",FALSE, ,0, 
37876,67923-36-8,"Soybean oil, polymer with maleic anhydride and pentaerythritol",FALSE, ,0, 
37877,67923-37-9,"Soybean oil, polymer with maleic anhydride, pentaerythritol and vinyltoluene",FALSE, ,0, 
37879,67923-39-1,"Sunflower oil, polymer with benzoic acid, pentaerythritol and phthalic anhydride",FALSE, ,0, 
37882,67923-43-7,"Propanenitrile, 3,3'-[[4-[2-(2,6-dichloro-4-nitrophenyl)diazenyl]phenyl]imino]bis-",FALSE, ,0, 
37887,67923-48-2,"9,10-Anthracenedione, 1-amino-4-hydroxy-2-[(2-hydroxyethyl)thio]-",FALSE, ,0, 
37906,67923-67-5,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate, methyl 2-propenoate and 2-propenoic acid",FALSE, ,0, 
37908,67923-69-7,"4,7-Methanoisobenzofuran-1,3-dione, 4,5,6,7,8,8-hexachloro-3a,4,7,7a-tetrahydro-, polymer with 1,2-ethanediol, 2,5-furandione, 2,2'-oxybis[ethanol] and 4,5,6,7-tetrabromo-1,3-isobenzofurandione",FALSE, ,0, 
37916,67923-77-7,"9-Octadecenoic acid (9Z)-, compd. with 2-(diethylamino)ethanol (1:1)",FALSE, ,0, 
37918,67923-79-9,"Isotridecane, 1,1'-[(methylheptylidene)bis(oxy)]bis-",FALSE, ,0, 
37920,67923-81-3,"2-Propenoic acid, 2-methyl-, monoester with 1,2-propanediol, polymer with butyl 2-propenoate, ethenylbenzene and 2-propenoic acid",FALSE, ,0, 
37922,67923-83-5,"Isononane, 1,1-diethoxy-",FALSE, ,0, 
37926,67923-87-9,"Ethanesulfonic acid, 2-[2-[2-(octylphenoxy)ethoxy]ethoxy]-, sodium salt (1:1)",FALSE, ,0, 
37929,67923-90-4,"Ethanol, 2-[2-[2-(decyloxy)ethoxy]ethoxy]-, 1-(hydrogen sulfate), ammonium salt (1:1)",FALSE, ,0, 
37933,67923-94-8,"1,3-Isobenzofurandione, polymer with 2-ethyl-1-hexanol, 2,5-furandione and 1,2-propanediol",FALSE, ,0, 
37940,nan,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenoic acid, ammonium salt",FALSE, ,0, 
37941,nan,"Ethanol, 2,2',2''-nitrilotris-, homopolymer, acetate (salt)",FALSE, ,0, 
37945,nan,"1,6-Hexanediamine, N1-(6-aminohexyl)-, polymer with 1,2-dichloroethane",FALSE, ,0, 
37951,67924-13-4,"Benzoic acid, 2-[[2-(phenylmethylene)octylidene]amino]-, methyl ester",FALSE, ,0, 
37955,67924-17-8,"Ethanol, 2,2',2''-nitrilotris-, 1,1',1''-tris(dihydrogen phosphate), sodium salt (1:2)",FALSE, ,0, 
37961,67924-23-6,"Cobaltate(6-), [[[1,2-ethanediylbis[(nitrilo-.kappa.N)bis(methylene)]]tetrakis[phosphonato-.kappa.O]](8-)]-, potassium hydrogen (1:5:1), (OC-6-21)-",FALSE, ,0, 
37969,67924-33-8,"Ethanol, 2,2',2''-nitrilotris-, homopolymer, hydrochloride",FALSE, ,0, 
37970,67924-34-9,"Phenol, 4-(1,1-dimethylethyl)-, polymer with 2-(chloromethyl)oxirane and 4,4'-(1-methylethylidene)bis[phenol]",TRUE, CAS,3, Scout
37972,67924-36-1,"Isocyanic acid, polymethylenepolyphenylene ester, polymer with 2-methyloxirane and 1,2-propanediol",FALSE, ,0, 
37975,nan,"Chromate(2-), [3-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-1-naphthalenesulfonato(3-)][1-[2-[2-(hydroxy-.kappa.O)-4-nitrophenyl]diazenyl-.kappa.N1]-2-naphthalenolato(2-)-.kappa.O]-, sodium hydrogen (1:1:1)",FALSE, ,0, 
37997,67939-29-1,"2-Propanol, 1,1',1''-nitrilotris-, polymer with 1,3-diisocyanatomethylbenzene and .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]",FALSE, ,0, 
38002,67939-35-9,"Propanol, oxybis-, polymer with 1,3-diisocyanatomethylbenzene, .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)] and .alpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]]",FALSE, ,0, 
38015,67939-49-5,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate, 1,2-propanediol mono-2-propenoate and 2-propenoic acid",FALSE, ,0, 
38019,67939-53-1,"2-Cyclohexene-1-octanoic acid, 5-carboxy-4-hexyl-, compd. with 2-aminoethanol (1:1)",FALSE, ,0, 
38024,67939-58-6,"9,12-Octadecadienoic acid (9Z,12Z)-, dimer, polymer with 2-(chloromethyl)oxirane and 4,4'-(1-methylethylidene)bis[phenol]",FALSE, ,0, 
38029,67939-65-5,"Methanaminium, N-[4-[bis[4-(dimethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, acetate (1:1)",FALSE, ,0, 
38030,67939-66-6,"1,3-Benzenedicarboxylic acid, polymer with hexanedioic acid, 2,2'-oxybis[ethanol] and 1,2-propanediol",FALSE, ,0, 
38034,67939-70-2,"Ethanedial, polymer with 2-(chloromethyl)oxirane and phenol",FALSE, ,0, 
38036,67939-72-4,"1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-, polymer with 2-methyloxirane and oxirane",FALSE, ,0, 
38044,67939-80-4,"Silicic acid (H4SiO4), tetracyclononyl ester",FALSE, ,0, 
38046,67939-82-6,"1-Octanethiol, gold(1+) salt (1:1)",FALSE, ,0, 
38047,67939-83-7,"Cyclononanol, tungsten(6+) salt (6:1)",FALSE, ,0, 
38050,67939-86-0,"Decanoic acid, compd. with 2,2'-[(1-methylethyl)imino]bis[ethanol] (1:1)",FALSE, ,0, 
38059,67939-95-1,"1-Propanaminium, N,N,N-trimethyl-3-[[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]-, iodide (1:1)",FALSE, ,0, 
38068,67952-23-2,"Polyphosphoric acids, esters with diethylene glycol, sodium salts",FALSE, ,0, 
38072,67952-28-7,"Magnesium, bis(8-quinolinolato-.kappa.N1,.kappa.O8)-, (T-4)-",FALSE, ,0, 
38075,67952-31-2,"D-Gluconic acid, compd. with morpholine (1:1)",FALSE, ,0, 
38076,67952-32-3,"2-Propanol, 1-amino-, phosphate (1:?)",TRUE, CAS,2, Scout
38077,67952-33-4,"Boric acid (H3BO3), compd. with 2,2'-iminobis[ethanol]",TRUE, CAS,3, Scout
38079,67952-35-6,"9-Octadecenoic acid (9Z)-, compd. with 1,1',1''-nitrilotris[2-propanol] (1:1)",FALSE, ,0, 
38082,67952-38-9,"Benzenepropanol, 4-methoxy-.alpha.-methyl-",FALSE, ,0, 
38089,67952-45-8,"1,8-Naphthalenedisulfonic acid, 4,5-bis(1-methylethyl)-, sodium salt (1:2)",FALSE, ,0, 
38093,67952-50-5,"2-Propenoic acid, 1,1'-[(1-methylethylidene)bis[4,1-phenyleneoxy(1-methyl-2,1-ethanediyl)]] ester",FALSE, ,0, 
38100,67952-57-2,"2-Heptanol, 6-methyl-, 2-acetate",FALSE, ,0, 
38102,67952-59-4,"Pyrazine, 2-(1-methylethyl)-3-(methylthio)-",FALSE, ,0, 
38103,67952-60-7,"Propanal, 2-methyl-2-(methyldithio)-",FALSE, ,0, 
