Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
14399,6737-68-4,"9,10-Anthracenedione, 1,4-bis[(2-methylphenyl)amino]-",FALSE, ,0, 
14401,6739-62-4,"Benzoic acid, 2-[2-[2-amino-6-[2-[4'-[2-(3-carboxy-4-hydroxyphenyl)diazenyl]-3,3'-dimethoxy[1,1'-biphenyl]-4-yl]diazenyl]-5-hydroxy-7-sulfo-1-naphthalenyl]diazenyl]-5-nitro-, sodium salt (1:3)",FALSE, ,0, 
14402,6742-54-7,"Benzene, undecyl-",TRUE, CAS,1, Scout
14404,04-03-6750 00:00,"2,4-Nonadienal",FALSE, ,0, 
14405,6752-33-6,"Ethanol, 2,2'-(hexylimino)bis-",FALSE, ,0, 
14406,6753-98-6,"1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-",FALSE, ,0, 
14409,6764-27-8,"7-Benzothiazolesulfonic acid, 2-[4-[(2-cyanoacetyl)amino]phenyl]-6-methyl-, sodium salt (1:1)",FALSE, ,0, 
14412,6765-39-5,1-Heptadecene,TRUE, CAS,1, Scout
14414,6770-38-3,"Benzene, 1,4-bis(methoxymethyl)-",FALSE, ,0, 
14416,6780-49-0,"Methanimidic acid, N-phenyl-, ethyl ester",FALSE, ,0, 
14417,03-08-6784 00:00,"6-Thiabicyclo[3.2.1]oct-3-ene, 4,7,7-trimethyl-",FALSE, ,0, 
14418,6784-13-0,"3-Cyclohexene-1-propanal, .beta.,4-dimethyl-",TRUE, CAS,1, Scout
14419,6786-83-0,"1-Naphthalenemethanol, .alpha.,.alpha.-bis[4-(dimethylamino)phenyl]-4-(phenylamino)-",TRUE, CAS,2, Scout
14421,6789-80-6,"3-Hexenal, (3Z)-",FALSE, ,0, 
14422,6789-88-4,"Benzoic acid, hexyl ester",TRUE, CAS,1, Scout
14423,6789-99-7,"1H-Benzotriazole, 4,5,6,7-tetrahydro-",FALSE, ,0, 
14424,6790-58-5,"Naphtho[2,1-b]furan, dodecahydro-3a,6,6,9a-tetramethyl-, (3aR,5aS,9aS,9bR)-",FALSE, ,0, 
14426,6797-13-3,"Benzoxazole, 2-ethyl-",FALSE, ,0, 
14430,04-03-6798 00:00,"Cuprate(2-), [.mu.-[[7,7'-iminobis[3-[2-[5-(aminosulfonyl)-2-(hydroxy-.kappa.O)phenyl]diazenyl-.kappa.N1]-4-(hydroxy-.kappa.O)-2-naphthalenesulfonato]](6-)]]di-, sodium (1:2)",FALSE, ,0, 
14432,6798-77-2,"2-Propenoic acid, 3-phenyl-, zinc salt (2:1), (2E)-",FALSE, ,0, 
14433,6807-11-0,"Ethanol, 2-(4-methylphenoxy)-, 1-acetate",FALSE, ,0, 
