Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
68281,882690-54-2,"2-Propenoic acid, polymer with ethenylbenzene, ethyl 2-propenoate, N-(hydroxymethyl)-2-methyl-2-propenamide, 2-methyl-2-propenamide and 2-propenenitrile",FALSE, ,0, 
68282,882695-58-1,"1,4-Cyclohexanedicarboxylic acid, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 2,5-furandione and 1,2-propanediol",FALSE, ,0, 
68283,882878-51-5,"Cuprate(2-), [7-amino-4-(hydroxy-.kappa.O)-3-[2-[2-[2-[2-(hydroxy-.kappa.O)-5-sulfophenyl]diazenyl-.kappa.N1]-4,5-dimethoxyphenyl]diazenyl-.kappa.N1]-2-naphthalenesulfonato(4-)]-, sodium (1:2), reaction products with sodium 2-[[4-[(2-aminopropyl)amino]-6-fluoro-1,3,5-triazin-2-yl]amino]-1,4-benzenedisulfonate (2:1) and 2,4,6-trifluoro-1,3,5-triazine",FALSE, ,0, 
68284,883111-87-3,"Oils, apple",FALSE, ,0, 
68285,883233-48-5,"1-Tetradecene, polymer with 1-dodecene, distn. residues, hydrogenated, C24-56 fraction",FALSE, ,0, 
68286,883233-91-8,"1-Tetradecene, polymer with 1-dodecene, distn. residues, hydrogenated, C36-84 fraction",FALSE, ,0, 
68287,883233-92-9,"1-Tetradecene, polymer with 1-dodecene, distn. residues, C24-42 fraction",FALSE, ,0, 
68288,883233-93-0,"1-Tetradecene, polymer with 1-dodecene, distn. residues, hydrogenated, C24-84 fraction",FALSE, ,0, 
68289,883233-94-1,"1-Tetradecene, polymer with 1-dodecene, hydrogenated, distn. residues, C24-42 fraction",FALSE, ,0, 
68290,883278-77-1,"Hexanedioic acid, polymer with N1-(2-aminoethyl)-1,2-ethanediamine, 2-(chloromethyl)oxirane and 1,2,3-propanetriol, sulfate (salt)",FALSE, ,0, 
68291,883454-06-6,"Hexanedioic acid, polymer with 2,2-dimethyl-1,3-propanediol, hexahydro-1,3-isobenzofurandione and 1,2-propanediol",FALSE, ,0, 
68292,883747-78-2,"2,5-Furandione, polymer with 2-methyl-1-propene, amide imide",FALSE, ,0, 
68293,883895-65-6,"1,3,6-Naphthalenetrisulfonic acid, 7-[(1E)-2-[2-(acetylamino)-4-[(1E)-2-(4-amino-5-sulfo-1-naphthalenyl)diazenyl]-5-methoxyphenyl]diazenyl]-, potassium sodium (1:?:?), reaction products with 2-[[4-[(4,6-difluoro-1,3,5-triazin-2-yl)amino]phenyl]sulfonyl]ethyl hydrogen sulfate sodium salt (1:1), propylenediamine and 2,4,6-trichloro-1,3,5-triazine",FALSE, ,0, 
68294,884302-52-7,"Hexanedioic acid, polymer with 1,4-butanediol, dimethyl carbonate, 1,6-hexanediol and 1,1'-methylenebis[4-isocyanatobenzene]",FALSE, ,0, 
68295,884332-29-0,"1,3-Isobenzofurandione, 3a,4,7,7a-tetrahydro-, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 1,6-hexanediol and 1,3-isobenzofurandione, compd. with 2-(dimethylamino)ethanol",FALSE, ,0, 
68296,884481-83-8,"2-Oxepanone, polymer with 5-amino-1,3,3-trimethylcyclohexanemethanamine, 1,2-ethanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane",FALSE, ,0, 
68297,884862-07-1,"Pyrrolo[3,4-c]pyrrole-1,4-dione, 3,6-bis[3-(dodecylsulfonyl)phenyl]-2,5-dihydro-",FALSE, ,0, 
68298,885702-72-7,"Pyridine, 2-(2,4-dimethylcyclohexyl)-",FALSE, ,0, 
68299,886584-31-2,"Butanedioic acid, 2,3-dihydroxy-, 1,4-bis(2-ethylhexyl) ester",FALSE, ,0, 
68300,887261-01-0,"1H-as-Indaceno[3,2-d]oxacyclododecin-7,15-dione, 2-[(6-deoxy-2,4-di-O-methyl-.alpha.-L-mannopyranosyl)oxy]-13-[[(2R,5S,6R)-5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl]oxy]-9-ethyl-2,3,3a,5a,5b,6,9,10,11,12,13,14,16a,16b-tetradecahydro-14-methyl-, (2R,3aS,5aR,5bS,9S,13S,14R,16aS,16bR)-, sulfate (1:1)",FALSE, ,0, 
68301,887261-72-5,"1H-as-Indaceno[3,2-d]oxacyclododecin-7,15-dione, 2-[(6-deoxy-2,4-di-O-methyl-.alpha.-L-mannopyranosyl)oxy]-13-[[(2R,5S,6R)-5-(dimethylamino)tetrahydro-6-methyl-2H-pyran-2-yl]oxy]-9-ethyl-2,3,3a,5a,5b,6,9,10,11,12,13,14,16a,16b-tetradecahydro-4,14-dimethyl-, (2S,3aR,5aS,5bS,9S,13S,14R,16aS,16bS)-, sulfate (1:1)",FALSE, ,0, 
68302,887766-52-1,"1,3-Benzenedicarboxylic acid, 5-sulfo-, 1,3-dimethyl ester, sodium salt (1:1), polymer with 1,4-benzenedicarboxylic acid and 1,2-propanediol",FALSE, ,0, 
68303,887917-82-0,"2,5-Furandione, polymer with 1-hexadecene, .alpha.-methyl-.omega.-(2-propen-1-yloxy)poly(oxy-1,2-ethanediyl) and 1-tetradecene, dodecyl hexadecyl ester",FALSE, ,0, 
68304,887919-35-9,"Palladium, bis[4-[bis(1,1-dimethylethyl)phosphino-.kappa.P]-N,N-dimethylbenzenamine]dichloro-, (SP-4-1)-",FALSE, ,0, 
68305,887947-29-7,"Morpholine, 4-C6-12 acyl derivs.",FALSE, ,0, 
68306,888021-82-7,"Butanoic acid, 3-mercapto-2-methyl-, ethyl ester",FALSE, ,0, 
68307,888480-69-1,"Carbonic acid, dimethyl ester, polymer with 1,6-hexanediol, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane and 4,4'-methylenebis[cyclohexanamine]",FALSE, ,0, 
68308,888706-72-7,"1,3,6-Naphthalenetrisulfonic acid, 7-[2-[2-[(aminocarbonyl)amino]-4-[[4-fluoro-6-[[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]-1,3,5-triazin-2-yl]amino]phenyl]diazenyl]-, sodium salt (1:4)",FALSE, ,0, 
68309,888744-18-1,"3-Hexene, 1-(2-buten-1-yloxy)-, (3Z)-",FALSE, ,0, 
68310,890051-62-4,"2-Oxepanone, homopolymer, ester with 1,2-ethanediol (2:1), polymer with 5-amino-1,3,3-trimethylcyclohexanemethanamine, .alpha.-hydro-.omega.-hydroxypoly(oxy-1,4-butanediyl) and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, N-butyl-1-butanamine-blocked",FALSE, ,0, 
68311,890525-22-1,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, dimethyl carbonate, 1,2-ethanediamine, 1,6-hexanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, polyethylene-polypropylene glycol mono-Bu ether-blocked",FALSE, ,0, 
68312,890707-29-6,"Benzamide, 2-amino-5-cyano-N,3-dimethyl-",FALSE, ,0, 
68313,890833-33-7,"Siloxanes and Silicones, 3-aminopropyl Me, di-Me, Me 3-mercaptopropyl",FALSE, ,0, 
68314,890833-85-9,"1,3-Benzenedicarboxylic acid, polymer with 1,3-bis(1-isocyanato-1-methylethyl)benzene, dihydro-3-(tetrapropenyl)-2,5-furandione, 2,3-dihydroxypropyl 2-methyl-2-propenoate, 2-ethylhexyl 2-propenoate, hexanedioic acid, 1,6-hexanediol and 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid, reaction products with diethanolamine, compds. with 2-(dimethylamino)ethanol",FALSE, ,0, 
68315,891196-26-2,"Silicic acid, 3,7-dimethyl-6-octen-1-yl ethyl ester",FALSE, ,0, 
68316,891196-27-3,"Silicic acid, (2E)-3,7-dimethyl-2,6-octadien-1-yl ethyl ester",FALSE, ,0, 
68317,891196-28-4,"Silicic acid, ethyl 2-phenylethyl ester",FALSE, ,0, 
68318,891196-29-5,"Silicic acid, ethyl 3-phenyl-2-propen-1-yl ester",FALSE, ,0, 
68319,891196-32-0,"Silicic acid, ethyl (3Z)-3-hexen-1-yl ester",FALSE, ,0, 
68320,891196-33-1,"Silicic acid, 1-ethenylhexyl ethyl ester",FALSE, ,0, 
68321,891784-00-2,"Siloxanes and Silicones, di-Me, 2-(trimethoxysilyl)ethyl group-terminated, polymers with methoxy-terminated Me methoxy siloxanes-Me silsesquioxanes polymers and 3-(triethoxysilyl)-1-propanamine, acetates (salts)",FALSE, ,0, 
68322,893407-07-3,"Carboxylic acids, C6-8-neo-, compds. with N-tallow alkyltrimethylenediamines (2:1)",FALSE, ,0, 
68323,893427-80-0,"Oxirane, 2-hexadecyl-, reaction products with polyethylene-polypropylene glycol ether with trimethylolpropane (3:1)",FALSE, ,0, 
68324,894082-03-2,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, hexanedioate (6:2:1), tetra-2-propenoate",FALSE, ,0, 
68325,894094-29-2,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,4-cyclohexanedimethanol, dimethyl carbonate, 1,6-hexanediol, 1,1'-methylenebis[4-isocyanatocyclohexane] and 2,2'-[oxybis(methylene)]bis[2-ethyl-1,3-propanediol], 2-propenoate (ester), compd. with N,N-diethylethanamine",FALSE, ,0, 
68326,894429-97-1,"Fatty acids, C16-18 and C18-unsatd., branched and linear, esters with propylene glycol",FALSE, ,0, 
68327,894786-56-2,"Benzaldehyde, polymer with 4,4'-bis(chloromethyl)-1,1'-biphenyl and phenol",FALSE, ,0, 
68328,895164-30-4,"1-Tetradecene, polymer with 1-decene and 1-hexene, hydrogenated",FALSE, ,0, 
68329,896128-12-4,"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with 1,3-bis(isocyanatomethyl)cyclohexane, 2-[[3-(trimethoxysilyl)propoxy]methyl]oxirane and N1-[3-(trimethoxysilyl)propyl]-1,2-ethanediamine",FALSE, ,0, 
68330,896465-69-3,"1-Butene, polymer with 1-propene, maleated",FALSE, ,0, 
68331,896736-85-9,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with N,N-dimethyl-2-propenamide, ethenylbenzene and N-(hydroxymethyl)-2-propenamide",FALSE, ,0, 
68332,897381-19-0,"Oxirane, 2-ethyl-, homopolymer, ether with 1,2-ethanediol (2:1)",FALSE, ,0, 
68333,897393-42-9,"Oxirane, 2-ethyl-, homopolymer, ether with 1,2-ethanediol (2:1), reaction products with ammonia",FALSE, ,0, 
68334,897393-64-5,"1,2-Propanediol, 3-amino-, N,N-dicoco alkyl derivs.",TRUE, CAS,1, Scout
68335,897626-46-9,"Nonanedioic acid, 1,9-bis(2-octyldodecyl) ester",FALSE, ,0, 
68336,897649-87-5,"1,4-Cyclohexanedicarboxylic acid, polymer with 1,4-cyclohexanedimethanol and 2,5-furandione, reaction products with glycidyl neodecanoate and polyethylene-polypropylene glycol 2-aminopropyl Me ether",FALSE, ,0, 
68337,898268-97-8,"1,2-Propanediol, polymer with 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, 2-hydroxyethyl acrylate-blocked",FALSE, ,0, 
68338,898835-19-3,"1-Heptanol, 2-propyl-, manuf. of, by-products from, distn. residues",FALSE, ,0, 
68339,899447-00-8,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymer with butyl 2-propenoate and 2-ethylhexyl 2-propenoate, tert-Bu 2-ethylhexaneperoxoate-initiated",FALSE, ,0, 
68340,899447-19-9,"Hexanedioic acid, polymer with 1,3-diisocyanatomethylbenzene, 2,2-dimethyl-1,3-propanediol, 1,6-hexanediol and 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid, diethanolamine-blocked, compds. with 2-(dimethylamino)ethanol",FALSE, ,0, 
