Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
48803,68891-15-6,"Oxirane, 2-methyl-, polymer with oxirane, ether with .beta.-D-fructofuranosyl .alpha.-D-glucopyranoside, reaction products with TDI",FALSE, ,0, 
48805,68891-17-8,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(tridecyloxy)-, branched, sodium salt",FALSE, ,0, 
48806,68891-18-9,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(pentadecyloxy)-, branched, sodium salt",FALSE, ,0, 
48807,68891-21-4,"Poly(oxy-1,2-ethanediyl), .alpha.-(dinonylphenyl)-.omega.-hydroxy-, branched",TRUE, CAS,1, Scout
48808,68891-22-5,"Poly(oxy-1,2-ethanediyl), .alpha.-(dinonylsulfophenyl)-.omega.-hydroxy-, branched",FALSE, ,0, 
48809,68891-23-6,"Poly(oxy-1,2-ethanediyl), .alpha.-(dinonylsulfophenyl)-.omega.-hydroxy-, branched, ammonium salt",FALSE, ,0, 
48810,68891-24-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(dinonylsulfophenyl)-.omega.-hydroxy-, branched, sodium salt",FALSE, ,0, 
48811,68891-25-8,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.-hydroxy-, C11-15-alkyl ethers",FALSE, ,0, 
48812,68891-26-9,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-phosphinicobis[.omega.-(tridecyloxy)-, branched",FALSE, ,0, 
48813,68891-27-0,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-phosphinicobis[.omega.-(pentadecyloxy)-, branched",FALSE, ,0, 
48814,68891-28-1,"Poly(oxy-1,2-ethanediyl), .alpha.-phosphono-.omega.-(pentadecyloxy)-, branched",FALSE, ,0, 
48815,68891-29-2,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C8-10-alkyl ethers, ammonium salts",TRUE, CAS,1, Scout
48816,68891-30-5,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C11-15-branched alkyl ethers, ammonium salts",FALSE, ,0, 
48817,68891-31-6,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C13-17-branched alkyl ethers, ammonium salts",FALSE, ,0, 
48818,68891-32-7,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylphenoxy)-, branched, ammonium salt",FALSE, ,0, 
48819,68891-33-8,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(nonylphenoxy)-, branched",FALSE, ,0, 
48820,68891-34-9,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylphenoxy)-, branched",FALSE, ,0, 
48821,68891-35-0,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylsulfophenoxy)-, branched",FALSE, ,0, 
48822,68891-36-1,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylsulfophenoxy)-, branched, diammonium salt",FALSE, ,0, 
48823,68891-37-2,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylsulfophenoxy)-, branched, disodium salt",FALSE, ,0, 
48824,68891-38-3,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C12-14-alkyl ethers, sodium salts",TRUE, CAS,3, Scout
48825,68891-39-4,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(nonylphenoxy)-, branched, sodium salt",FALSE, ,0, 
48826,68891-40-7,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(dinonylphenoxy)-, branched, sodium salt",FALSE, ,0, 
48827,68891-41-8,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-(nonylphenyl)-.omega.-hydroxy-, branched",FALSE, ,0, 
48829,68891-43-0,"Sulfamic acid, reaction products with formaldehyde and polyethylenimine",FALSE, ,0, 
48831,68891-45-2,"Sulfurous acid, sodium salt (1:1), reaction products with polyethylene glycol monotridecyl ether and succinic anhydride",FALSE, ,0, 
48832,68891-46-3,"2-Propenenitrile, polymer with 1,3-butadiene, 3-carboxy-1-cyano-1-methylpropyl-terminated",FALSE, ,0, 
48835,68891-49-6,"2-Propenoic acid, methyl ester, homopolymer, hydrolyzed",FALSE, ,0, 
48836,68891-50-9,"2-Propenoic acid, polymer with 1,3-butadiene and 2-propenenitrile, 3-carboxy-1-cyano-1-methylpropyl-terminated",FALSE, ,0, 
