Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
7761,1129-42-6,"Urea, N-(hexahydro-6-methyl-2-oxo-4-pyrimidinyl)-",FALSE, ,0, 
7762,1129-47-1,"Propanoic acid, 2-methyl-, cyclohexyl ester",FALSE, ,0, 
7764,1327-79-3,C.I. Vat Blue 43,FALSE, ,0, 
7766,1327-88-4,C.I. Solubilised Sulphur Red 6,FALSE, ,0, 
7768,1328-04-07,C.I. Pigment Violet 5:1,FALSE, ,0, 
7770,1328-18-3,C.I. Vat Blue 19,FALSE, ,0, 
7772,1328-24-1,C.I. Acid Black 48,FALSE, ,0, 
7773,1328-25-2,C.I. Vat Black 9,FALSE, ,0, 
7774,1328-53-6,C.I. Pigment Green 7,TRUE, CAS,3, Scout
7775,1328-60-5,C.I. Natural Red 4:1,FALSE, ,0, 
7777,1329-99-3,"Cyclohexane, 1-methyl-4-(1-methylethyl)-, tetradehydro deriv.",FALSE, ,0, 
7778,1330-16-1,"Bicyclo[3.1.1]heptane, 2,6,6-trimethyl-, didehydro deriv.",FALSE, ,0, 
7779,1330-20-7,"Benzene, dimethyl-",TRUE, CAS,3, Scout
7781,1330-38-7,"Cuprate(2-), [29H,31H-phthalocyanine-C,C-disulfonato(4-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, sodium (1:2)",TRUE, CAS,3, Scout
7782,1330-39-8,"Cuprate(3-), [29H,31H-phthalocyanine-C,C,C-trisulfonato(5-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, sodium (1:3)",FALSE, ,0, 
7784,1330-43-4,Boron sodium oxide (B4Na2O7),TRUE, CAS,3, Scout
7785,1330-61-6,"2-Propenoic acid, isodecyl ester",TRUE, CAS,3, Scout
7787,1330-70-7,"Octadecanoic acid, hydroxy-",FALSE, ,0, 
7789,1330-78-5,"Phosphoric acid, tris(methylphenyl) ester",TRUE, CAS,3, Scout
7790,1330-80-9,"9-Octadecenoic acid (9Z)-, monoester with 1,2-propanediol",TRUE, CAS,1, Scout
7792,1330-86-5,"Hexanedioic acid, 1,6-diisooctyl ester",FALSE, ,0, 
7794,1331-12-0,"1,2-Propanediol, monoacetate",FALSE, ,0, 
7795,1331-17-5,"Propanol, 1(or 2)-(2-propen-1-yloxy)-",FALSE, ,0, 
7796,1331-22-2,"Cyclohexanone, methyl-",FALSE, ,0, 
7797,1331-28-8,"Benzene, chloroethenyl-",FALSE, ,0, 
7799,1331-61-9,"Benzenesulfonic acid, dodecyl-, ammonium salt (1:1)",FALSE, ,0, 
7802,1331-83-5,"Benzenemethanol, ar-methoxy-, 1-acetate",FALSE, ,0, 
7803,1825-30-5,"Naphthalene, 1,5-dichloro-",FALSE, ,0, 
7805,1825-58-7,"Benzene, (ethoxydimethylsilyl)-",FALSE, ,0, 
7806,1825-61-2,"Silane, methoxytrimethyl-",TRUE, CAS,3, Scout
7807,1825-62-3,"Silane, ethoxytrimethyl-",TRUE, CAS,3, Scout
7808,1825-63-4,"Silane, trimethylpropoxy-",TRUE, CAS,1, Scout
7809,1825-68-9,"Silane, chloromethoxydimethyl-",FALSE, ,0, 
7810,1826-28-4,"Methanone, phenyl-2-pyridinyl-, oxime",FALSE, ,0, 
7811,1826-56-8,"Acetamide, N-ethyl-N-(4-nitrophenyl)-",FALSE, ,0, 
7812,1826-67-1,"Magnesium, bromoethenyl-",TRUE, CAS,3, Scout
7813,1829-00-1,"7-Benzothiazolesulfonic acid, 2,2'-(1-triazene-1,3-diyldi-4,1-phenylene)bis[6-methyl-, sodium salt (1:2)",TRUE, CAS,3, Scout
7814,1829-40-9,"Disiloxane, 1,1,1,3,3,3-hexaphenyl-",FALSE, ,0, 
7815,1830-54-2,"Pentanedioic acid, 3-oxo-, 1,5-dimethyl ester",TRUE, CAS,3, Scout
7817,1830-78-0,"2-Propenoic acid, 2-methyl-, 1,1'-(2-hydroxy-1,3-propanediyl) ester",TRUE, CAS,2, Scout
7819,1832-07-01,Phosphonitrile chloride,FALSE, ,0, 
7821,1833-31-4,"Benzene, [(chlorodimethylsilyl)methyl]-",FALSE, ,0, 
7822,1833-51-8,"Benzene, [(chloromethyl)dimethylsilyl]-",TRUE, CAS,1, Scout
7823,1833-53-0,"Silane, trimethyl[(1-methylethenyl)oxy]-",FALSE, ,0, 
7825,1834-30-6,"Acetic acid, iron(3+) salt (3:1)",TRUE, CAS,1, Scout
7826,1836-22-2,"Benzoic acid, 2-[2-(2-hydroxy-3,6-disulfo-1-naphthalenyl)diazenyl]-, sodium salt (1:3)",FALSE, ,0, 
7827,1836-75-5,"Benzene, 2,4-dichloro-1-(4-nitrophenoxy)-",TRUE, CAS,2, Scout
7830,1838-08-0,"1-Octadecanamine, hydrochloride (1:1)",TRUE, CAS,2, Scout
7832,1838-59-1,"Formic acid, 2-propen-1-yl ester",TRUE, CAS,2, Scout
7833,1838-88-6,"2-Penten-1-ol, 2-methyl-, 1-acetate",FALSE, ,0, 
7834,1839-11-8,"9,11-Octadecadienoic acid",FALSE, ,0, 
7836,1843-03-04,"Phenol, 4,4',4''-(1-methyl-1-propanyl-3-ylidene)tris[2-(1,1-dimethylethyl)-5-methyl-",FALSE, ,0, 
7837,1843-05-06,"Methanone, [2-hydroxy-4-(octyloxy)phenyl]phenyl-",FALSE, ,0, 
