Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
2426,106-31-0,"Butanoic acid, 1,1'-anhydride",True, CAS,2, Scout
2427,106-32-1,"Octanoic acid, ethyl ester",True, CAS,2, Scout
2428,106-33-2,"Dodecanoic acid, ethyl ester",True, CAS,2, Scout
2429,106-34-3,"2,5-Cyclohexadiene-1,4-dione, compd. with 1,4-benzenediol (1:1)",True, CAS,1, Scout
2430,106-35-4,3-Heptanone,True, CAS,3, Scout
2431,106-36-5,"Propanoic acid, propyl ester",True, CAS,2, Scout
2432,106-37-6,"Benzene, 1,4-dibromo-",True, CAS,3, Scout
2433,106-38-7,"Benzene, 1-bromo-4-methyl-",True, CAS,4, Scout
2434,106-39-8,"Benzene, 1-bromo-4-chloro-",True, CAS,2, Scout
2435,106-40-1,"Benzenamine, 4-bromo-",True, CAS,1, Scout
2436,106-41-2,"Phenol, 4-bromo-",True, CAS,3, Scout
2437,106-42-3,"Benzene, 1,4-dimethyl-",True, CAS,3, Scout
2438,106-43-4,"Benzene, 1-chloro-4-methyl-",True, CAS,3, Scout
2439,106-44-5,"Phenol, 4-methyl-",True, CAS,3, Scout
2440,106-45-6,"Benzenethiol, 4-methyl-",False, ,0, 
2441,106-46-7,"Benzene, 1,4-dichloro-",True, CAS,4, Scout
2442,106-47-8,"Benzenamine, 4-chloro-",True, CAS,3, Scout
2443,106-48-9,"Phenol, 4-chloro-",True, CAS,3, Scout
2444,106-49-0,"Benzenamine, 4-methyl-",True, CAS,3, Scout
2445,106-50-3,"1,4-Benzenediamine",True, CAS,3, Scout
2446,106-51-4,"2,5-Cyclohexadiene-1,4-dione",True, CAS,2, Scout
2447,106-52-5,"4-Piperidinol, 1-methyl-",True, CAS,1, Scout
2448,106-53-6,"Benzenethiol, 4-bromo-",True, CAS,3, Scout
2449,106-54-7,"Benzenethiol, 4-chloro-",True, CAS,2, Scout
2450,106-55-8,"Piperazine, 2,5-dimethyl-",False, ,0, 
2451,106-57-0,"2,5-Piperazinedione",True, CAS,2, Scout
2452,106-58-1,"Piperazine, 1,4-dimethyl-",True, CAS,2, Scout
2454,106-63-8,"2-Propenoic acid, 2-methylpropyl ester",True, CAS,1, Scout
2456,106-65-0,"Butanedioic acid, 1,4-dimethyl ester",True, CAS,3, Scout
2457,106-66-1,"1,2-Ethanediamine, N1,N2-diethyl-N1,N2-dimethyl-",False, ,0, 
2458,106-67-2,"1-Pentanol, 2-ethyl-4-methyl-",False, ,0, 
2459,106-68-3,3-Octanone,True, CAS,3, Scout
2460,106-69-4,"1,2,6-Hexanetriol",True, CAS,1, Scout
2461,106-70-7,"Hexanoic acid, methyl ester",True, CAS,2, Scout
2462,106-71-8,"2-Propenoic acid, 2-cyanoethyl ester",False, ,0, 
2463,106-72-9,"5-Heptenal, 2,6-dimethyl-",True, CAS,3, Scout
2464,106-73-0,"Heptanoic acid, methyl ester",True, CAS,1, Scout
2465,106-74-1,"2-Propenoic acid, 2-ethoxyethyl ester",True, CAS,1, Scout
2466,106-75-2,"Carbonochloridic acid, C,C'-(oxydi-2,1-ethanediyl) ester",True, CAS,1, Scout
2467,106-79-6,"Decanedioic acid, 1,10-dimethyl ester",True, CAS,3, Scout
2468,106-83-2,"2-Oxiraneoctanoic acid, 3-octyl-, butyl ester",False, ,0, 
2470,106-86-5,"7-Oxabicyclo[4.1.0]heptane, 3-ethenyl-",True, CAS,1, Scout
2471,106-87-6,"7-Oxabicyclo[4.1.0]heptane, 3-(2-oxiranyl)-",True, CAS,1, Scout
2472,106-88-7,"Oxirane, 2-ethyl-",True, CAS,3, Scout
2473,106-89-8,"Oxirane, 2-(chloromethyl)-",True, CAS,1, Scout
2474,106-90-1,"2-Propenoic acid, 2-oxiranylmethyl ester",True, CAS,1, Scout
2475,106-91-2,"2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester",True, CAS,2, Scout
2476,106-92-3,"Oxirane, 2-[(2-propen-1-yloxy)methyl]-",True, CAS,1, Scout
2477,106-93-4,"Ethane, 1,2-dibromo-",True, CAS,2, Scout
2478,106-94-5,"Propane, 1-bromo-",True, CAS,3, Scout
2479,106-95-6,"1-Propene, 3-bromo-",True, CAS,2, Scout
2480,106-96-7,"1-Propyne, 3-bromo-",True, CAS,3, Scout
2481,106-97-8,Butane,True, CAS,3, Scout
2482,106-98-9,1-Butene,True, CAS,2, Scout
2483,106-99-0,"1,3-Butadiene",True, CAS,2, Scout
2484,107-00-6,1-Butyne,True, CAS,2, Scout
2485,0107-01-07,2-Butene,False, ,0, 
2486,0107-02-08,2-Propenal,False, ,0, 
2487,0107-03-09,1-Propanethiol,False, ,0, 
