Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
27812,38136-29-7,"Pentanoyl chloride, 4-methyl-",FALSE, ,0, 
27813,38139-94-5,"2-Propenamide, 2-methyl-, polymer with 1-ethenyl-2-pyrrolidinone",FALSE, ,0, 
27817,1324-26-5,"[3,3'-Bi-7H-benz[de]anthracene]-7,7'-dione, 9,9'-diamino-",FALSE, ,0, 
27820,38193-60-1,"1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-, sodium salt (1:1), polymer with 2-propenamide",FALSE, ,0, 
27821,38201-97-7,"Platinum(2+), tetraamminedihydroxy-",TRUE, CAS,1, Scout
27823,38205-64-0,"Thiazole, 5-methoxy-2-methyl-",FALSE, ,0, 
27826,38215-36-0,"2H-1-Benzopyran-2-one, 3-(2-benzothiazolyl)-7-(diethylamino)-",TRUE, CAS,2, Scout
27828,38223-29-9,"Oxacyclohexadecane-2,13-dione",FALSE, ,0, 
27831,38237-00-2,"2,6-Octadiene-1-thiol, 3,7-dimethyl-",FALSE, ,0, 
27837,38284-26-3,"Bicyclo[7.2.0]undecan-5-ol, 10,10-dimethyl-2,6-bis(methylene)-",FALSE, ,0, 
27839,38285-49-3,"Pentitol, 1,5-anhydro-2-butyl-2,4-dideoxy-4-methyl-, 3-acetate",TRUE, CAS,1, Scout
27840,38294-67-6,"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane and 4,4'-methylenebis[cyclohexanamine]",TRUE, CAS,1, Scout
27841,38294-69-8,"Phenol, 4,4'-(1-methylethylidene)bis-, polymer with N1,N2-bis(2-aminoethyl)-1,2-ethanediamine and 2-(chloromethyl)oxirane",TRUE, CAS,2, Scout
27844,38299-08-0,"[1,2,4]Triazolo[1,5-a]pyrimidin-7-ol, 5-methyl-, sodium salt (1:1)",FALSE, ,0, 
27845,38303-23-0,"Cyclododecoxazole, 4,5,6,7,8,9,10,11,12,13-decahydro-",FALSE, ,0, 
27846,38304-27-7,"Phosphonic acid, P-octyl-, sodium salt (1:1)",FALSE, ,0, 
27847,38304-28-8,"Phosphonic acid, P-octyl-, sodium salt (1:2)",FALSE, ,0, 
27850,38321-18-5,"Ethanol, 2-(2-butoxyethoxy)-, sodium salt (1:1)",FALSE, ,0, 
27851,38325-25-6,"Spiro[1,3-dithiolo[4,5-b]furan-2,3'(2'H)-furan], hexahydro-2',3a-dimethyl-",FALSE, ,0, 
27852,38333-84-5,"2-Propanone, polymer with 1,2,3-benzenetriol",FALSE, ,0, 
27854,38344-72-8,"Octanoic acid, compd. with morpholine (1:1)",FALSE, ,0, 
27858,13314-43-1,"2(1H)-Pyrimidinone, hydrochloride (1:1)",FALSE, ,0, 
27860,38353-82-1,"2-Propanol, 1-[(3-aminophenyl)amino]-3-phenoxy-",FALSE, ,0, 
27864,38363-23-4,"2-Dodecen-1-ol, 1-acetate",FALSE, ,0, 
27865,38363-29-0,"8-Dodecen-1-ol, 1-acetate, (8E)-",TRUE, CAS,1, Scout
27869,38396-39-3,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-",TRUE, CAS,3, Scout
27870,nan,"Ethanaminium, 2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethyl-, chloride (1:1)",FALSE, ,0, 
27871,nan,"Benzoic acid, 2,4-dichloro-, sodium salt (1:1)",FALSE, ,0, 
