Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
919515-71-2,"2,3,3,3-Tetrafluoroprop-1-ene-1,1-dithiol",FALSE, ,0, 
919515-73-4,"2,3,3,4,4,4-Hexafluorobut-1-ene-1,1-dithiol",FALSE, ,0, 
91998-13-9,4-(Perfluorononyl)oxybenzenesulfonate sodium,FALSE, ,0, 
920491-93-6,Quinolin-6-yl nonafluorobutane-1-sulfonate,FALSE, ,0, 
920507-89-7,"5,6-Dibromo-2,2-bis(trifluoromethyl)-2H-1,3-benzodioxole",FALSE, ,0, 
920-66-1,2H-Perfluoro-2-propanol,TRUE, CAS,3, Scout
92071-84-6,((Perfluorooctyl)-2-hydroxypropyl)trimethylammonium iodide,FALSE, ,0, 
920966-49-0,"4-Nitrophenyl 3,3,4,4-tetrafluoropyrrolidine-1-carboxylate",FALSE, ,0, 
920979-28-8,"Perfluoro-2,5-di(propan-2-yl)oxolan-2-ol ethyl ether",FALSE, ,0, 
921193-82-0,"N-(3,3,4,4,4-Pentafluorobut-1-en-2-yl)cyclohexanamine",FALSE, ,0, 
921193-83-1,"N-(3,3,4,4,5,5,5-Heptafluoropent-1-en-2-yl)cyclohexanamine",FALSE, ,0, 
921204-31-1,"Perfluoro-2,3-bis[2-(fluorosulfonyl)ethoxy]propanoyl fluoride",FALSE, ,0, 
921204-32-2,"Perfluoro-2-{2,3-bis[2-(fluorosulfonyl)ethoxy]propoxy}propanoyl fluoride",FALSE, ,0, 
921223-07-6,"1-Ethoxy-1-(ethylsulfanyl)-4,4,4-trifluoro-3-(trifluoromethyl)buta-1,2-diene",FALSE, ,0, 
921603-75-0,"1-[(1,1,2,3,3,3-Hexafluoropropyl)sulfanyl]-2-methoxybenzene",FALSE, ,0, 
921603-76-1,"1-Methoxy-2-[(1,2,3,3,3-pentafluoroprop-1-en-1-yl)sulfanyl]benzene",FALSE, ,0, 
921930-69-0,"Trifluoroacetic acid--1~2~,2~2~:2~6~,3~2~-terpyridine (3/1)",FALSE, ,0, 
922141-41-1,"(2,2,3,3-Tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-42-2,"1-Methyl-3-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-43-3,"1-Methyl-4-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-44-4,"1-Methoxy-3-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-45-5,"1-Methoxy-4-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-46-6,"1-Chloro-3-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-47-7,"1-Chloro-4-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
922141-48-8,"1-Bromo-3-(2,2,3,3-tetrafluorocyclopropyl)benzene",FALSE, ,0, 
